"Name","Runtime","Notes","Tags","growing_jump","target_state","loss","loss0","step","total_seconds"
"resilient-butterfly-1239","115","-","","0","sconf_image(""final/bonito.png"")","0.009949005208909512","0.009949005208909512","1188","112.72999906539916"
"distinctive-salad-1238","131","-","","0","sconf_image(""final/boat.png"")","0.009783141314983368","0.009783141314983368","1355","128.60899591445923"
"faithful-lion-1237","134","-","","0","sconf_image(""final/bear.png"")","0.009417979046702383","0.009417979046702383","1387","131.3210015296936"
"misty-sun-1236","77","-","","0","sconf_image(""final/beach.png"")","0.009754239581525326","0.009754239581525326","800","75.69799399375916"
"absurd-dream-1235","168","-","","0","sconf_image(""final/baboon.png"")","0.009703405201435087","0.009703405201435087","1762","165.62899732589722"
"flowing-blaze-1234","157","-","","0","sconf_image(""final/arctic.png"")","0.009689358994364738","0.009689358994364738","1638","154.51599860191345"
"easy-rain-1233","192","-","","0","sconf_image(""final/arch.png"")","0.009656667709350586","0.009656667709350586","2031","190.20499897003177"
"balmy-terrain-1232","112","-","","10","sconf_image(""final/wildflowers.png"")","0.009791083633899689","0.009791083633899689","1562","110.73599529266356"
"efficient-planet-1231","80","-","","10","sconf_image(""final/waterfall.png"")","0.009384188801050186","0.009384188801050186","1225","78.0159969329834"
"eager-monkey-1230","82","-","","10","sconf_image(""final/water.png"")","0.009231552481651306","0.009231552481651306","1245","79.96499967575073"
"eternal-hill-1229","72","-","","10","sconf_image(""final/watch.png"")","0.009978686459362509","0.009978686459362509","1062","70.24700117111206"
"jolly-yogurt-1228","81","-","","10","sconf_image(""final/stress.png"")","0.00977893266826868","0.00977893266826868","1218","78.61999845504761"
"generous-elevator-1227","96","-","","10","sconf_image(""final/rose.png"")","0.009984823875129225","0.009984823875129225","1433","93.29500150680542"
"royal-sponge-1226","130","-","","10","sconf_image(""final/pills.png"")","0.00930788367986679","0.00930788367986679","2021","127.71399879455566"
"dazzling-dust-1225","98","-","","10","sconf_image(""final/peppers.png"")","0.009796767495572569","0.009796767495572569","1487","95.82400012016296"
"sunny-plasma-1224","85","-","","10","sconf_image(""final/opera.png"")","0.008675036020576954","0.008675036020576954","1210","83.59999585151672"
"chocolate-jazz-1223","172","-","","10","sconf_image(""final/newyork.png"")","0.009794830344617369","0.009794830344617369","2320","169.6189980506897"
"sage-energy-1222","72","-","","10","sconf_image(""final/machine.png"")","0.00922879669815302","0.00922879669815302","1102","69.42500019073486"
"dark-plant-1221","91","-","","10","sconf_image(""final/lena.png"")","0.008689825423061848","0.008689825423061848","1363","88.28999924659729"
"exalted-frost-1220","197","-","","10","sconf_image(""final/lake.png"")","0.009631368331611156","0.009631368331611156","2819","195.10699796676636"
"flowing-jazz-1219","88","-","","10","sconf_image(""final/kid.png"")","0.009263253770768642","0.009263253770768642","1306","85.72200036048889"
"sweet-rain-1218","63","-","","10","sconf_image(""final/fontaine.png"")","0.009684077464044094","0.009684077464044094","991","61.254995584487915"
"dandy-glitter-1217","109","-","","10","sconf_image(""final/f16.png"")","0.009857113473117352","0.009857113473117352","1708","106.74200010299684"
"woven-donkey-1216","62","-","","10","sconf_image(""final/f15.png"")","0.009908226318657398","0.009908226318657398","906","59.26499962806702"
"noble-plant-1215","83","-","","10","sconf_image(""final/corrosion.png"")","0.009396001696586607","0.009396001696586607","1284","80.67299890518188"
"absurd-fog-1214","97","-","","10","sconf_image(""final/cathedral.png"")","0.009887289255857468","0.009887289255857468","1375","95.0859990119934"
"breezy-monkey-1213","77","-","","10","sconf_image(""final/bonito.png"")","0.009925823658704758","0.009925823658704758","1126","74.45399737358093"
"spring-planet-1212","78","-","","10","sconf_image(""final/boat.png"")","0.009502186439931393","0.009502186439931393","1262","75.74999690055847"
"dutiful-waterfall-1211","146","-","","10","sconf_image(""final/bear.png"")","0.00950026884675026","0.00950026884675026","2087","143.60999989509585"
"fallen-spaceship-1210","59","-","","10","sconf_image(""final/beach.png"")","0.009600627236068249","0.009600627236068249","874","56.207998514175415"
"zany-bee-1209","112","-","","10","sconf_image(""final/baboon.png"")","0.009777825325727465","0.009777825325727465","1877","111.28399872779846"
"twilight-elevator-1208","155","-","","10","sconf_image(""final/arctic.png"")","0.009929305873811243","0.009929305873811243","2254","152.55499935150146"
"upbeat-cloud-1207","165","-","","10","sconf_image(""final/arch.png"")","0.009635704569518566","0.009635704569518566","2337","162.3829996585846"
"graceful-galaxy-1206","153","-","","0","sconf_image(""final/wildflowers.png"")","0.009912338107824326","0.009912338107824326","1599","151.1890003681183"
"playful-eon-1205","96","-","","0","sconf_image(""final/waterfall.png"")","0.009821885265409946","0.009821885265409946","994","93.64600038528442"
"fallen-donkey-1204","100","-","","0","sconf_image(""final/water.png"")","0.009765947237610815","0.009765947237610815","1047","98.0779960155487"
"cerulean-waterfall-1203","110","-","","0","sconf_image(""final/watch.png"")","0.009787293151021004","0.009787293151021004","1146","107.37199926376344"
"hopeful-snow-1202","135","-","","0","sconf_image(""final/stress.png"")","0.009766011498868464","0.009766011498868464","1411","132.47599697113037"
"summer-deluge-1201","195","-","","0","sconf_image(""final/rose.png"")","0.009932323358953","0.009932323358953","2065","192.6639974117279"
"dry-voice-1200","167","-","","0","sconf_image(""final/pills.png"")","0.009167342446744442","0.009167342446744442","1751","164.69099950790405"
"driven-waterfall-1199","116","-","","0","sconf_image(""final/peppers.png"")","0.009839282371103764","0.009839282371103764","1203","113.6589982509613"
"decent-grass-1198","152","-","","0","sconf_image(""final/opera.png"")","0.009417712688446043","0.009417712688446043","1602","149.84999775886536"
"soft-lion-1197","172","-","","0","sconf_image(""final/newyork.png"")","0.009628633968532084","0.009628633968532084","1816","169.84699773788452"
"giddy-pyramid-1196","110","-","","0","sconf_image(""final/machine.png"")","0.008464973419904709","0.008464973419904709","1159","108.7469997406006"
"skilled-water-1195","160","-","","0","sconf_image(""final/lena.png"")","0.009602056816220284","0.009602056816220284","1688","158.04699754714966"
"comic-sea-1194","174","-","","0","sconf_image(""final/lake.png"")","0.00995962042361498","0.00995962042361498","1830","171.38299942016602"
"autumn-disco-1193","99","-","","0","sconf_image(""final/kid.png"")","0.00907954666763544","0.00907954666763544","1025","97.22399878501892"
"azure-valley-1192","105","-","","0","sconf_image(""final/fontaine.png"")","0.009907984174787998","0.009907984174787998","1079","102.5729968547821"
"leafy-music-1191","135","-","","0","sconf_image(""final/f16.png"")","0.009146887809038162","0.009146887809038162","1423","133.68900156021118"
"different-pine-1190","61","-","","0","sconf_image(""final/f15.png"")","0.009680725634098051","0.009680725634098051","615","58.96399974822998"
"super-wind-1189","145","-","","0","sconf_image(""final/corrosion.png"")","0.009298236109316347","0.009298236109316347","1509","143.096999168396"
"devout-bush-1188","129","-","","0","sconf_image(""final/cathedral.png"")","0.009908941574394705","0.009908941574394705","1337","126.427996635437"
"ancient-silence-1187","115","-","","0","sconf_image(""final/bonito.png"")","0.009920799173414707","0.009920799173414707","1198","113.20500087738036"
"ethereal-wood-1186","148","-","","0","sconf_image(""final/boat.png"")","0.009711448103189468","0.009711448103189468","1543","145.70299887657166"
"astral-river-1185","143","-","","0","sconf_image(""final/bear.png"")","0.009377866052091122","0.009377866052091122","1433","141.00999975204468"
"rich-flower-1184","70","-","","0","sconf_image(""final/beach.png"")","0.009945170022547243","0.009945170022547243","717","67.83399868011475"
"rare-thunder-1183","138","-","","0","sconf_image(""final/baboon.png"")","0.009943246841430664","0.009943246841430664","1438","135.7819995880127"
"tough-galaxy-1182","193","-","","0","sconf_image(""final/arctic.png"")","0.008643807843327522","0.008643807843327522","2019","190.72299909591675"
"wise-waterfall-1181","194","-","","0","sconf_image(""final/arch.png"")","0.00970813538879156","0.00970813538879156","2021","192.1859974861145"
"honest-fog-1180","113","-","","10","sconf_image(""final/wildflowers.png"")","0.009265442378818989","0.009265442378818989","1648","111.5639991760254"
"magic-bird-1179","104","-","","10","sconf_image(""final/waterfall.png"")","0.009924572892487047","0.009924572892487047","1449","101.4329993724823"
"scarlet-planet-1178","67","-","","10","sconf_image(""final/water.png"")","0.00996966753154993","0.00996966753154993","968","64.84099745750427"
"firm-eon-1177","69","-","","10","sconf_image(""final/watch.png"")","0.008721570484340191","0.008721570484340191","945","66.49400091171265"
"proud-jazz-1176","67","-","","10","sconf_image(""final/stress.png"")","0.009892117232084274","0.009892117232084274","1032","64.66699981689453"
"devoted-star-1175","125","-","","10","sconf_image(""final/rose.png"")","0.00997412670403719","0.00997412670403719","1674","122.5319983959198"
"blooming-yogurt-1174","103","-","","10","sconf_image(""final/pills.png"")","0.0099269300699234","0.0099269300699234","1607","101.06599760055542"
"curious-spaceship-1173","87","-","","10","sconf_image(""final/peppers.png"")","0.00981724727898836","0.00981724727898836","1283","84.76299524307251"
"misty-puddle-1172","75","-","","10","sconf_image(""final/opera.png"")","0.009588935412466526","0.009588935412466526","1086","72.39200043678284"
"eager-snowflake-1171","110","-","","10","sconf_image(""final/newyork.png"")","0.00969789642840624","0.00969789642840624","1509","107.2929995059967"
"feasible-dragon-1170","85","-","","10","sconf_image(""final/machine.png"")","0.009223845787346365","0.009223845787346365","1231","83.43499970436096"
"fresh-smoke-1169","85","-","","10","sconf_image(""final/lena.png"")","0.00937602762132883","0.00937602762132883","1236","82.15899848937988"
"robust-durian-1168","189","-","","10","sconf_image(""final/lake.png"")","0.009121042676270008","0.009121042676270008","2506","186.68099975585935"
"breezy-plasma-1167","83","-","","10","sconf_image(""final/kid.png"")","0.009161390364170074","0.009161390364170074","1220","79.61999940872192"
"major-microwave-1166","78","-","","10","sconf_image(""final/fontaine.png"")","0.00962434709072113","0.00962434709072113","1213","75.54500102996826"
"clear-puddle-1165","146","-","","10","sconf_image(""final/f16.png"")","0.009901188313961027","0.009901188313961027","2157","143.29199838638306"
"stellar-valley-1164","51","-","","10","sconf_image(""final/f15.png"")","0.009479712694883348","0.009479712694883348","731","49.249998569488525"
"still-oath-1163","102","-","","10","sconf_image(""final/corrosion.png"")","0.008245744742453098","0.008245744742453098","1405","99.895001411438"
"scarlet-brook-1162","126","-","","10","sconf_image(""final/cathedral.png"")","0.009887420572340488","0.009887420572340488","1803","123.89499855041504"
"vocal-water-1161","91","-","","10","sconf_image(""final/bonito.png"")","0.009697633795440195","0.009697633795440195","1319","89.53099870681763"
"silver-tree-1160","124","-","","10","sconf_image(""final/boat.png"")","0.009860489517450333","0.009860489517450333","1780","121.84799432754517"
"silver-energy-1159","121","-","","10","sconf_image(""final/bear.png"")","0.008910728618502617","0.008910728618502617","1853","119.0329999923706"
"gentle-microwave-1158","64","-","","10","sconf_image(""final/beach.png"")","0.009820041246712208","0.009820041246712208","1078","62.04100012779236"
"jolly-dawn-1157","108","-","","10","sconf_image(""final/baboon.png"")","0.009606186300516129","0.009606186300516129","1599","105.89599776268004"
"scarlet-flower-1156","144","-","","10","sconf_image(""final/arctic.png"")","0.009968158788979052","0.009968158788979052","1857","142.13699793815613"
"earnest-frog-1155","122","-","","10","sconf_image(""final/arch.png"")","0.009992506355047226","0.009992506355047226","1749","119.37799787521362"
"serene-firebrand-1154","124","-","","0","sconf_image(""final/wildflowers.png"")","0.009788173250854015","0.009788173250854015","1297","121.21099781990053"
"rare-frog-1153","113","-","","0","sconf_image(""final/waterfall.png"")","0.009648587554693222","0.009648587554693222","1175","110.99199986457825"
"desert-bee-1152","103","-","","0","sconf_image(""final/water.png"")","0.009372401051223278","0.009372401051223278","1067","100.9709973335266"
"laced-sky-1151","95","-","","0","sconf_image(""final/watch.png"")","0.009366126731038094","0.009366126731038094","984","92.62499833106996"
"fiery-oath-1150","83","-","","0","sconf_image(""final/stress.png"")","0.009864495135843754","0.009864495135843754","855","81.04699683189392"
"sleek-dawn-1149","182","-","","0","sconf_image(""final/rose.png"")","0.009597175754606724","0.009597175754606724","1906","179.91599440574646"
"honest-monkey-1148","159","-","","0","sconf_image(""final/pills.png"")","0.009559760801494122","0.009559760801494122","1659","156.9179983139038"
"honest-gorge-1147","159","-","","0","sconf_image(""final/peppers.png"")","0.009309357963502409","0.009309357963502409","1655","156.44499921798706"
"devout-donkey-1146","135","-","","0","sconf_image(""final/opera.png"")","0.009519184939563274","0.009519184939563274","1411","132.6949999332428"
"unique-thunder-1145","185","-","","0","sconf_image(""final/newyork.png"")","0.009993135929107666","0.009993135929107666","1933","182.90399956703183"
"apricot-meadow-1144","97","-","","0","sconf_image(""final/machine.png"")","0.009464247152209282","0.009464247152209282","1010","96.22999954223631"
"icy-pyramid-1143","118","-","","0","sconf_image(""final/lena.png"")","0.009768351912498474","0.009768351912498474","1226","116.77200055122375"
