"Name","target_state","total_seconds"
"legendary-sky-4054","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","396.78499817848206"
"fanciful-mountain-4053","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","430.20199632644653"
"trim-donkey-4052","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","392.59299635887146"
"logical-monkey-4051","sconf_image(""hard/pills.png"")","232.117999792099"
"visionary-water-4050","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","269.3249967098236"
"dark-microwave-4049","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","276.63200068473816"
"scarlet-serenity-4048","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","353.885999917984"
"dashing-snowflake-4047","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","275.82000064849854"
"astral-plasma-4046","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","317.78400015830994"
"rosy-sea-4045","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","391.43099665641785"
"visionary-gorge-4044","sconf_image(""hard/peppers.png"")","146.08099603652954"
"elated-lion-4043","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","342.5909996032715"
"leafy-dew-4042","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","412.9319987297058"
"earthy-morning-4041","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","364.8559975624085"
"avid-fog-4040","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","421.46099853515625"
"glorious-haze-4039","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","219.69599986076355"
"dauntless-pine-4038","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","266.5299983024597"
"morning-oath-4037","sconf_image(""hard/lena.png"")","183.71899890899655"
"classic-vortex-4036","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","319.1050019264221"
"vocal-cosmos-4035","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","370.8739993572235"
"dutiful-fire-4034","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","359.71399998664856"
"grateful-paper-4033","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","336.632999420166"
"bumbling-lion-4032","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","287.6530005931854"
"dandy-shape-4031","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","480.95099997520447"
"balmy-brook-4030","sconf_image(""hard/arch.png"")","281.90999960899353"
"cosmic-pine-4029","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","212.89000177383423"
"still-night-4028","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","234.62700057029724"
"quiet-fire-4027","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","303.079998254776"
"good-snow-4026","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","315.64199900627136"
"pretty-sound-4025","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","271.0839991569519"
"ruby-durian-4024","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","313.4329996109009"
"pious-grass-4023","sconf_image(""hard/water.png"")","119.17099905014038"
"solar-music-4022","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","376.4400007724762"
"smart-cloud-4021","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","396.5369989871979"
"distinctive-night-4020","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","300.185996055603"
"radiant-sponge-4019","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","299.6009976863861"
