Trial number, Nucleation X, Nucleation Y, Min Loss 
3,0.5,0.125,0.003992165
4,0.5,0.125,0.0074921474
5,0.5,0.125,0.009556125
6,0.5,0.125,0.008373876
7,0.5,0.125,0.002258404
8,0.5,0.125,0.0021772573
9,0.5,0.125,0.004350634
0,0.5,0.25,0.0027633638
1,0.5,0.25,0.0032362752
2,0.5,0.25,0.0031451203
3,0.5,0.25,0.0034297733
4,0.5,0.25,0.0019418545
5,0.5,0.25,0.004782422
6,0.5,0.25,0.009351924
7,0.5,0.25,0.0068476214
8,0.5,0.25,0.0057839397
9,0.5,0.25,0.0023135603
0,0.5,0.375,0.002165824
1,0.5,0.375,0.0026379244
2,0.5,0.375,0.0022215708
3,0.5,0.375,0.0018569118
4,0.5,0.375,0.0017507229
5,0.5,0.375,0.0028935336
6,0.5,0.375,0.0064216848
7,0.5,0.375,0.0030985735
8,0.5,0.375,0.0022383437
9,0.5,0.375,0.002414317
0,0.5,0.5,0.004310211
1,0.5,0.5,0.0026392797
2,0.5,0.5,0.0023870033
3,0.5,0.5,0.0016917986
4,0.5,0.5,0.0011685333
5,0.5,0.5,0.0030572757
6,0.5,0.5,0.0023947386
7,0.5,0.5,0.0038481283
8,0.5,0.5,0.0025390398
9,0.5,0.5,0.0019274927
0,0.5,0.625,0.003210949
1,0.5,0.625,0.003868426
2,0.5,0.625,0.0027764123
3,0.5,0.625,0.0021744217
4,0.5,0.625,0.002858349
5,0.5,0.625,0.002351491
6,0.5,0.625,0.0036671285
7,0.5,0.625,0.003399487
8,0.5,0.625,0.0024177192
9,0.5,0.625,0.002844659
0,0.5,0.75,0.0025965858
1,0.5,0.75,0.0020441047
2,0.5,0.75,0.004212681
3,0.5,0.75,0.0036748631
4,0.5,0.75,0.0028404996
5,0.5,0.75,0.0029899783
6,0.5,0.75,0.0023562966
7,0.5,0.75,0.002528255
8,0.5,0.75,0.003526902
9,0.5,0.75,0.0020814978
0,0.5,0.875,0.0038231916
1,0.5,0.875,0.008698487
2,0.5,0.875,0.004044721
3,0.5,0.875,0.0029998787
4,0.5,0.875,0.004500794
5,0.5,0.875,0.004911849
6,0.5,0.875,0.0043411762
7,0.5,0.875,0.004006826
8,0.5,0.875,0.0025249876
9,0.5,0.875,0.0071754865
0,0.625,0.0,0.007032572
1,0.625,0.0,0.005867886
2,0.625,0.0,0.006273588
3,0.625,0.0,0.008746055
4,0.625,0.0,0.005372887
5,0.625,0.0,0.0063772947
6,0.625,0.0,0.009986012
7,0.625,0.0,0.0070519163
8,0.625,0.0,0.0060867467
9,0.625,0.0,0.010893767
0,0.625,0.125,0.0058619804
1,0.625,0.125,0.0077522285
2,0.625,0.125,0.0063934303
3,0.625,0.125,0.0070406552
4,0.625,0.125,0.0033774246
5,0.625,0.125,0.005900296
6,0.625,0.125,0.00464691
7,0.625,0.125,0.0047958535
8,0.625,0.125,0.010616976
9,0.625,0.125,0.004378023
0,0.625,0.25,0.0052465512
1,0.625,0.25,0.0076561794
2,0.625,0.25,0.003794944
3,0.625,0.25,0.007197419
4,0.625,0.25,0.009119035
5,0.625,0.25,0.004162219
6,0.625,0.25,0.004118307
7,0.625,0.25,0.0071099005
8,0.625,0.25,0.0037625616
9,0.625,0.25,0.006516294
0,0.625,0.375,0.003790851
1,0.625,0.375,0.0029178448
2,0.625,0.375,0.003831799
3,0.625,0.375,0.002601086
4,0.625,0.375,0.0016958936
5,0.625,0.375,0.006593523
6,0.625,0.375,0.0023511257
7,0.625,0.375,0.0036399532
8,0.625,0.375,0.005606726
9,0.625,0.375,0.0036345527
0,0.625,0.5,0.0036441952
1,0.625,0.5,0.0017339917
2,0.625,0.5,0.005392387
3,0.625,0.5,0.00308742
4,0.625,0.5,0.002947428
5,0.625,0.5,0.0046129464
6,0.625,0.5,0.0032027008
7,0.625,0.5,0.01235313
8,0.625,0.5,0.005629008
9,0.625,0.5,0.008021737
0,0.625,0.625,0.004914218
1,0.625,0.625,0.0030299558
2,0.625,0.625,0.0031342723
3,0.625,0.625,0.00440002
4,0.625,0.625,0.0064219856
5,0.625,0.625,0.004048685
6,0.625,0.625,0.0024711704
7,0.625,0.625,0.0039819735
8,0.625,0.625,0.01085094
9,0.625,0.625,0.0052768053
0,0.625,0.75,0.0037259143
1,0.625,0.75,0.0039445483
2,0.625,0.75,0.004587443
3,0.625,0.75,0.003825675
4,0.625,0.75,0.0031988907
5,0.625,0.75,0.0033319343
6,0.625,0.75,0.0027748558
7,0.625,0.75,0.0043683685
8,0.625,0.75,0.0036546902
9,0.625,0.75,0.004559085
0,0.625,0.875,0.00394555
1,0.625,0.875,0.0073142573
2,0.625,0.875,0.007499954
3,0.625,0.875,0.0067227096
4,0.625,0.875,0.005066177
5,0.625,0.875,0.0051410277
6,0.625,0.875,0.003959686
7,0.625,0.875,0.004139823
8,0.625,0.875,0.0045310576
9,0.625,0.875,0.008328624
0,0.75,0.0,0.0060212705
1,0.75,0.0,0.003056531
2,0.75,0.0,0.006914275
3,0.75,0.0,0.007592929
4,0.75,0.0,0.008080449
5,0.75,0.0,0.010711205
6,0.75,0.0,0.0089857755
7,0.75,0.0,0.007518517
8,0.75,0.0,0.0042109215
9,0.75,0.0,0.0051825913
0,0.75,0.125,0.0043753292
1,0.75,0.125,0.004938961
2,0.75,0.125,0.003960831
3,0.75,0.125,0.0046974216
4,0.75,0.125,0.008336586
5,0.75,0.125,0.004491512
6,0.75,0.125,0.0047232183
7,0.75,0.125,0.0062275673
8,0.75,0.125,0.005747834
9,0.75,0.125,0.0054246173
0,0.75,0.25,0.003972983
1,0.75,0.25,0.0043059294
2,0.75,0.25,0.006316098
3,0.75,0.25,0.0049568093
4,0.75,0.25,0.009011202
5,0.75,0.25,0.0037304629
6,0.75,0.25,0.003978375
7,0.75,0.25,0.005349642
8,0.75,0.25,0.010280394
9,0.75,0.25,0.0067637227
0,0.75,0.375,0.006711652
1,0.75,0.375,0.002837696
2,0.75,0.375,0.0050047026
3,0.75,0.375,0.004325986
4,0.75,0.375,0.0051596453
5,0.75,0.375,0.0053735212
6,0.75,0.375,0.0040857033
7,0.75,0.375,0.0064129406
8,0.75,0.375,0.0044480786
9,0.75,0.375,0.0031612776
0,0.75,0.5,0.007194217
1,0.75,0.5,0.0043338216
2,0.75,0.5,0.011093969
3,0.75,0.5,0.0049443883
4,0.75,0.5,0.0036378035
5,0.75,0.5,0.0034228035
6,0.75,0.5,0.0041651656
7,0.75,0.5,0.0032903785
8,0.75,0.5,0.0037428197
9,0.75,0.5,0.0060150106
0,0.75,0.625,0.0026901185
1,0.75,0.625,0.0042462097
2,0.75,0.625,0.0048607974
3,0.75,0.625,0.006353186
4,0.75,0.625,0.00621549
5,0.75,0.625,0.004414272
6,0.75,0.625,0.0046854387
7,0.75,0.625,0.004578926
8,0.75,0.625,0.00622939
9,0.75,0.625,0.005803482
0,0.75,0.75,0.005551625
1,0.75,0.75,0.004546245
2,0.75,0.75,0.005854336
3,0.75,0.75,0.004473614
4,0.75,0.75,0.005203808
5,0.75,0.75,0.0040213503
6,0.75,0.75,0.0057339347
7,0.75,0.75,0.0037230824
8,0.75,0.75,0.0076642763
9,0.75,0.75,0.0062951096
0,0.75,0.875,0.005745406
1,0.75,0.875,0.006397339
2,0.75,0.875,0.0046613025
3,0.75,0.875,0.0042759245
4,0.75,0.875,0.006111874
5,0.75,0.875,0.005269276
6,0.75,0.875,0.006070804
7,0.75,0.875,0.004302232
8,0.75,0.875,0.005226331
9,0.75,0.875,0.0051036184
